symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
CHOW,,,,,0.000000,,,,,,,,
CI,,,,,0.000000,,,,,,,,
CIG,,,,,0.000000,,,,,,,,
CITY,,,,,0.000000,,,,,,,,
CIVIL,920000000.0000,36628904.0000,200000000,28.570000,0.000000,43.000000,,,,,,,
CKP,,,,,0.000000,,,,,,,,
CMAN,921600000.0000,32281387.0000,240000000,25.000000,0.000000,58.850000,3216525228.0000,1993825370.0000,1222699858.0000,2215232271.0000,2009114087.0000,109305462.0000,153868931.0000
CMC,750000000.0000,37275000.0000,250000000,25.000000,0.000000,27.350000,5955793429.0000,4194999694.0000,1760793735.0000,1525233775.0000,2090746279.0000,126639555.0000,156210433.0000
COCOCO,2035000000.0000,62365500.0000,370000000,25.170000,0.000000,,3114842732.0000,1780721318.0000,1334121414.0000,3385755520.0000,3457044661.0000,306669735.0000,296029903.0000
COLOR,,,,,0.000000,,,,,,,,
COM7,,,,,0.000000,,,,,,,,
COMAN,265200000.0000,15915660.0000,34000000,25.370000,0.000000,59.700000,,,,,,,
CPALL,,,,,0.000000,,,,,,,,
CPANEL,,,39500000,26.330000,0.000000,60.400000,536302223.0000,409504186.0000,126798037.0000,221158479.0000,322349452.0000,13123823.0000,36606839.0000
CPR,,,,,0.000000,,,,,,,,
CPT,,,270000000,30.000000,0.000000,,,,,,,,
CPW,380800000.0000,20559280.0000,160000000,26.670000,0.000000,14.780000,881505624.0000,524337043.0000,357168581.0000,3227623803.0000,2798099439.0000,82421636.0000,63347925.0000
CRANE,,,,,0.000000,,,,,,,,
CRC,57233000000.0000,646969895.0000,1331000000,22.100000,0.000000,46.510000,177560000000.0000,110233000000.0000,67326777286.0000,240297000000.0000,,9536268441.0000,
CRD,,,150000000,30.000000,0.000000,,648448546.0000,421402333.0000,227046213.0000,1060550519.0000,1225954239.0000,42488983.0000,80499011.0000
CREDIT,1876470810.0000,86807462.0000,347029122,28.200000,81.354334,,153475000000.0000,138594000000.0000,14881580000.0000,3615648000.0000,2857186000.0000,926859000.0000,413374000.0000
CSP,,,,,0.000000,,,,,,,,
CSS,,,,,0.000000,,,,,,,,
CV,1248000000.0000,53000000.0000,320000000,25.000000,0.000000,49.800000,,,,,,,
D,300000000.0000,15000000.0000,50000000,25.000000,0.000000,75.000000,,,,,,,
DDD,4028000000.0000,87123310.0000,76000000,24.050000,0.000000,58.850000,949001806.0000,536362362.0000,412639444.0000,358902666.0000,,62441638.0000,
DEMCO,,,,,0.000000,,,,,,,,
DEXON,554324400.0000,28015706.0000,123183200,25.850000,0.000000,,643052431.0000,369957973.0000,273094458.0000,610471818.0000,435342327.0000,105153012.0000,18147413.0000
DHOUSE,130320000.0000,14906670.0000,217200000,25.860000,0.000000,66.620000,729661560.5000,378418159.6000,351243400.9000,141822883.1000,67497244.0000,40712907.1000,9537746.0000
DIMET,,,,,0.000000,,,,,,,,
DITTO,,,80000000,18.180000,0.000000,,773809594.0000,440826411.0000,332983183.0000,986290971.0000,773021880.0000,114203934.0000,56273291.0000
DMT,2240000000.0000,67596788.0000,140000000,11.850000,0.000000,10.800000,,,,,,,
DOD,1023000000.0000,35759150.0000,110000000,26.830000,0.000000,59.080000,369930033.0000,107596102.0000,262333931.0000,368376289.0000,385361433.0000,138779898.0000,128894543.0000
DOHOME,3558048000.0000,107530827.0000,465040000,25.050000,1.909513,37.700000,,,,,,,
DPAINT,399375000.0000,26217938.0000,53250000,23.150000,0.000000,28.710000,,,,,,,
DRT,,,,,0.000000,,,,,,,,
DTAC,,,,,0.000000,,,,,,,,
DTCENT,872300000.0000,29494297.0000,305000000,25.310000,0.000000,49.550000,,,,,,,
EA,,,,,0.000000,,,,,,,,
EASON,,,,,0.000000,,,,,,,,
ECF,,,,,0.000000,,,,,,,,
EFORL,,,,,0.000000,,,,,,,,
EKH,,,,,0.000000,,,,,,,,
EPG,,,,,0.000000,,,,,,,,
ETC,1560000000.0000,84545960.0000,600000000,26.790000,0.000000,0.020000,2642402000.0000,1724733000.0000,917669000.0000,134901000.0000,91326000.0000,24177000.0000,17472000.0000
ETE,588000000.0000,23400400.0000,140000000,25.000000,0.000000,28.860000,997717239.0000,845107135.0000,152610104.0000,1586333617.0000,1099053467.0000,64631451.0000,16012573.0000
ETL,288733939.2000,22677317.0000,171865440,27.720000,0.000000,29.970010,1015871132.0000,607576519.0000,408294613.0000,1481182862.0000,,50071777.0000,
EURO,583000000.0000,30824009.0000,78000000,25.570000,29.487179,64.490000,1244691037.0000,1023717017.0000,220974020.0000,1047914560.0000,556844323.0000,135911342.0000,86786409.0000
FLOYD,252000000.0000,13100000.0000,90000000,25.000000,0.000000,,403391282.2000,129348445.0000,274042837.2000,542818610.0000,460167736.0000,115890730.0000,66206256.0400
FM,1080000000.0000,46270858.0000,376957000,38.160000,46.943551,17.820000,3466228382.0000,1394565354.0000,2071663028.0000,5770136378.0000,5991870613.0000,235210178.0000,853193655.0000
FN,,,250000000,25.000000,0.000000,,,,,,,,
FNS,,,,,0.000000,,,,,,,,
FORTH,,,,,0.000000,,,,,,,,
FPI,,,,,0.000000,,,,,,,,
FSMART,,,,,0.000000,,,,,,,,
FTE,,,150000000,25.000000,0.000000,,480730000.0000,165101000.0000,315629000.0000,829531000.0000,761573000.0000,87201000.0000,74025000.0000
FTI,325000000.0000,12657500.0000,130000000,28.890000,0.000000,9.460000,554409571.1000,227244524.0000,327165046.0000,855904287.0000,733274478.2000,70295264.9200,37752026.8700
FVC,,,,,0.000000,,,,,,,,
GABLE,1118250000.0000,46166000.0000,175000000,25.000000,0.000000,27.210000,4036727516.0000,2896662436.0000,1140065080.0000,4731344658.0000,4939068270.0000,268163221.0000,244841360.0000
GC,,,,,0.000000,,,,,,,,
GCAP,,,,,0.000000,,,,,,,,
GFC,420000000.0000,18130000.0000,60000000,27.270000,0.000000,,189770773.0000,66039444.0000,123731329.0000,242119283.3000,214401848.5000,69633435.4500,66553322.0000
GGC,2762667040.0000,108832994.0000,246666700,25.000000,0.000000,,11631427319.0000,3708465858.0000,7922961461.0000,17200050967.0000,,961106240.0000,
GLOBAL,,,,,0.000000,,,,,,,,
GLORY,196000000.0000,7038000.0000,70000000,25.930000,0.000000,,107892300.0000,18456797.0000,89435503.0000,56679668.0000,73493129.0000,2851036.0000,14047431.0000
GPI,350000000.0000,18405721.0000,100000000,16.670000,0.000000,68.000000,,,,,,,
GPSC,,,,,0.000000,,,,,,,,
GRAND,,,,,0.000000,,,,,,,,
GREEN,,,,,0.000000,,,,,,,,
GTB,,,,,0.000000,,,,,,,,
GULF,23998500000.0000,483331300.0000,533300000,24.990000,0.000000,71.000000,59815600700.0000,56033211300.0000,3782389400.0000,240987666.0000,687147747.0000,220595396.0000,-1078995253.0000
GUNKUL,,,,,0.000000,,,,,,,,
HANN,112000000.0000,12938400.0000,160000000,28.570000,0.000000,,333025505.0000,143634827.0000,189390678.0000,492503566.0000,527061517.0000,21182647.0000,27771003.0000
HARN,,,,,0.000000,,,,,,,,
HENG,1561632735.0000,56874282.0000,800837300,21.020000,0.000000,25.800000,,,,,,,
HFT,,,,,0.000000,,,,,,,,
