symbol,Market,Industry Group (กลุ่มอุตสาหกรรม),Sector (หมวดธุรกิจ)
UBE,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
VCOM,mai,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
VRANDA,mai,บริการ,-
WARRIX,SET,สินค้าอุปโภคบริโภค,แฟชั่น
WASH,mai,บริการ,-
WFX,SET,สินค้าอุปโภคบริโภค,แฟชั่น
WGE,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง
WHAUP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
WINDOW,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
WINMED,mai,สินค้าอุปโภคบริโภค,-
WPH,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
YGG,mai,บริการ,-
YONG,mai,อสังหาริมทรัพย์และก่อสร้าง,-
ZEN,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
ZIGA,mai,สินค้าอุตสาหกรรม,-
